,"A1 Endurance sport, land-based","A2 Endurance sport, Cycling","A3 Endurance sport, Swimming",B1 Individual Fitness,B2 Group-based Fitness,E Compostional-creative activities,F relaxation-oriented activities,G  Outdoor sports,H1 Team sport games,H2 Net games
106,0.53,0.65,0.33,0.4,0.21,0.03,0.23,0.5,0.63,0.67
107,0.42,0.44,0.13,0.39,0.66,0.26,0.33,0.26,0.03,0.23
108,0.57,0.41,0.51,0.33,0.47,0.32,0.75,0.4,0.06,0.26
109,0.28,0.19,0.3,0.56,0.48,0.18,0.21,0.15,0.29,0.27
110,0.42,0.25,0.37,0.49,0.27,0.27,0.19,0.35,0.48,0.63
111,0.49,0.3,0.37,0.4,0.6,0.61,0.39,0.24,0.06,0.19
112,0.73,0.41,0.23,0.39,0.45,0.1,0.14,0.21,0.02,0.09
113,0.71,0.62,0.6,0.6,0.44,0.24,0.69,0.26,0.02,0.1
114,0.23,0.23,0.26,0.42,0.09,0.11,0.03,0.37,0.91,0.72
115,0.41,0.3,0.39,0.6,0.27,0.39,0.18,0.17,0.14,0.23
116,0.63,0.68,0.37,0.53,0.13,0.06,0.21,0.61,0.29,0.23
117,0.57,0.21,0.36,0.59,0.11,0.34,0.12,0.32,0.49,0.36
118,0.33,0.16,0.26,0.71,0.09,0.06,0.03,0.17,0.85,0.45
119,0.2,0.23,0.09,0.24,0.09,0.19,0.03,0.36,0.9,0.55
120,0.49,0.33,0.55,0.32,0.46,0.33,0.72,0.19,0.03,0.11
121,0.55,0.67,0.36,0.55,0.23,0.08,0.05,0.66,0.67,0.66
122,0.41,0.37,0.15,0.55,0.13,0.88,0.07,0.13,0.51,0.62
123,0.44,0.56,0.18,0.53,0.28,0.1,0.06,0.33,0.54,0.64
124,0.32,0.21,0.07,0.57,0.08,0.04,0.02,0.05,0.88,0.23
125,0.38,0.29,0.14,0.62,0.08,0.03,0.06,0.19,0.27,0.16
126,0.62,0.7,0.49,0.56,0.17,0.07,0.12,0.42,0.16,0.21
127,0.69,0.5,0.4,0.51,0.45,0.37,0.45,0.3,0.02,0.08
128,0.35,0.28,0.25,0.52,0.22,0.07,0.12,0.11,0.12,0.12
129,0.46,0.35,0.24,0.52,0.24,0.28,0.17,0.51,0.31,0.48
130,0.54,0.32,0.43,0.77,0.11,0.08,0.07,0.56,0.37,0.19
131,0.56,0.23,0.34,0.55,0.15,0.17,0.14,0.26,0.24,0.41
132,0.33,0.22,0.43,0.48,0.57,0.1,0.56,0.07,0.03,0.26
133,0.7,0.71,0.57,0.58,0.06,0.07,0.17,0.46,0.08,0.12
134,0.24,0.14,0.12,0.3,0.12,0.05,0.02,0.22,0.63,0.45
135,0.55,0.6,0.24,0.29,0.22,0.24,0.2,0.76,0.67,0.65
136,0.69,0.61,0.58,0.51,0.56,0.38,0.58,0.28,0.03,0.21
137,0.37,0.28,0.12,0.42,0.11,0.15,0.06,0.61,0.64,0.4
138,0.74,0.57,0.3,0.51,0.27,0.05,0.51,0.39,0.02,0.15
139,0.53,0.4,0.25,0.31,0.17,0.03,0.1,0.13,0.39,0.44
140,0.3,0.25,0.15,0.55,0.14,0.08,0.03,0.41,0.83,0.7
141,0.23,0.31,0.13,0.67,0.09,0.3,0.03,0.12,0.77,0.2
142,0.65,0.43,0.24,0.64,0.05,0.03,0.04,0.18,0.15,0.12
143,0.53,0.53,0.24,0.7,0.19,0.05,0.04,0.47,0.52,0.29
144,0.23,0.12,0.17,0.58,0.1,0.06,0.03,0.42,0.87,0.74
145,0.46,0.37,0.33,0.55,0.44,0.49,0.73,0.33,0.06,0.18
146,0.33,0.18,0.46,0.23,0.7,0.56,0.18,0.31,0.06,0.22
147,0.41,0.24,0.27,0.53,0.54,0.46,0.19,0.43,0.28,0.42
148,0.58,0.33,0.57,0.43,0.61,0.52,0.72,0.3,0.06,0.26
149,0.69,0.33,0.22,0.7,0.34,0.1,0.24,0.28,0.15,0.18
150,0.69,0.56,0.49,0.67,0.32,0.35,0.58,0.39,0.02,0.1
151,0.53,0.31,0.4,0.43,0.68,0.24,0.46,0.19,0.02,0.08
152,0.74,0.65,0.49,0.49,0.46,0.51,0.72,0.51,0.03,0.18
153,0.38,0.26,0.34,0.43,0.31,0.2,0.25,0.32,0.3,0.46
154,0.2,0.27,0.23,0.24,0.23,0.23,0.06,0.47,0.78,0.45
155,0.56,0.43,0.39,0.48,0.58,0.36,0.45,0.11,0.02,0.24
156,0.49,0.64,0.29,0.54,0.21,0.11,0.12,0.66,0.68,0.53
157,0.68,0.35,0.41,0.41,0.57,0.18,0.48,0.05,0.02,0.05
158,0.44,0.42,0.44,0.48,0.46,0.08,0.57,0.13,0.03,0.05
159,0.56,0.38,0.36,0.63,0.38,0.43,0.54,0.44,0.07,0.25
160,0.19,0.2,0.12,0.61,0.09,0.06,0.04,0.23,0.82,0.56
161,0.44,0.21,0.2,0.64,0.46,0.38,0.1,0.12,0.5,0.38
162,0.36,0.08,0.44,0.4,0.49,0.31,0.17,0.18,0.15,0.16
163,0.36,0.22,0.33,0.56,0.29,0.26,0.15,0.33,0.53,0.64
164,0.41,0.26,0.43,0.72,0.39,0.31,0.28,0.24,0.11,0.27
165,0.51,0.28,0.25,0.72,0.4,0.27,0.21,0.27,0.25,0.4
166,0.44,0.39,0.34,0.5,0.22,0.19,0.15,0.57,0.52,0.67
167,0.62,0.66,0.3,0.29,0.16,0.18,0.08,0.74,0.75,0.69
168,0.33,0.37,0.24,0.35,0.11,0.14,0.1,0.27,0.46,0.43
169,0.63,0.43,0.53,0.41,0.47,0.39,0.76,0.23,0.03,0.1
170,0.37,0.15,0.17,0.67,0.26,0.29,0.07,0.14,0.51,0.43
171,0.44,0.43,0.22,0.5,0.18,0.02,0.06,0.11,0.06,0.09
172,0.18,0.17,0.09,0.7,0.03,0.04,0.03,0.09,0.37,0.12
173,0.42,0.14,0.14,0.59,0.27,0.22,0.11,0.1,0.29,0.29
174,0.65,0.46,0.32,0.48,0.53,0.31,0.36,0.36,0.03,0.09
175,0.55,0.35,0.38,0.58,0.07,0.03,0.05,0.26,0.6,0.63
176,0.7,0.37,0.49,0.41,0.27,0.37,0.53,0.56,0.08,0.09
177,0.69,0.62,0.48,0.49,0.2,0.07,0.11,0.47,0.2,0.19
178,0.45,0.33,0.49,0.48,0.53,0.4,0.52,0.19,0.03,0.42
179,0.69,0.53,0.36,0.63,0.45,0.2,0.66,0.27,0.02,0.08
180,0.43,0.54,0.26,0.28,0.21,0.38,0.19,0.74,0.77,0.61
181,0.59,0.56,0.43,0.41,0.63,0.44,0.69,0.48,0.06,0.3
182,0.25,0.18,0.4,0.3,0.19,0.22,0.15,0.18,0.28,0.15
183,0.73,0.66,0.28,0.44,0.11,0.07,0.15,0.42,0.08,0.12
184,0.64,0.56,0.53,0.65,0.08,0.08,0.17,0.44,0.3,0.15
185,0.39,0.23,0.33,0.53,0.12,0.77,0.07,0.31,0.42,0.36
186,0.38,0.38,0.35,0.49,0.63,0.36,0.49,0.4,0.03,0.5
187,0.44,0.36,0.12,0.27,0.12,0.04,0.02,0.14,0.13,0.26
188,0.29,0.23,0.24,0.56,0.15,0.07,0.04,0.5,0.8,0.71
189,0.49,0.43,0.35,0.28,0.12,0.05,0.05,0.12,0.17,0.19
190,0.62,0.38,0.48,0.47,0.5,0.11,0.46,0.16,0.06,0.24
191,0.73,0.59,0.27,0.36,0.3,0.22,0.61,0.41,0.02,0.07
192,0.28,0.14,0.13,0.29,0.19,0.68,0.07,0.19,0.13,0.3
193,0.28,0.16,0.08,0.73,0.07,0.05,0.02,0.03,0.77,0.18
194,0.67,0.57,0.44,0.62,0.46,0.29,0.7,0.4,0.03,0.15
195,0.37,0.22,0.15,0.75,0.14,0.36,0.07,0.08,0.16,0.09
196,0.67,0.68,0.31,0.59,0.1,0.05,0.07,0.48,0.08,0.17
197,0.19,0.17,0.23,0.46,0.35,0.75,0.19,0.32,0.37,0.45
198,0.54,0.63,0.46,0.4,0.55,0.61,0.75,0.76,0.06,0.53
199,0.34,0.13,0.14,0.81,0.07,0.02,0.03,0.08,0.75,0.32
200,0.46,0.22,0.26,0.77,0.16,0.25,0.21,0.3,0.18,0.42
201,0.55,0.42,0.33,0.62,0.3,0.2,0.74,0.23,0.02,0.13
202,0.49,0.52,0.38,0.41,0.55,0.65,0.68,0.76,0.06,0.39
203,0.57,0.38,0.37,0.6,0.42,0.52,0.6,0.47,0.07,0.25
204,0.64,0.43,0.38,0.42,0.09,0.03,0.05,0.13,0.19,0.12
205,0.63,0.46,0.55,0.54,0.58,0.52,0.79,0.58,0.06,0.2
206,0.55,0.43,0.31,0.41,0.1,0.03,0.14,0.09,0.09,0.07
207,0.47,0.35,0.37,0.55,0.62,0.2,0.59,0.14,0.02,0.09
208,0.37,0.24,0.15,0.23,0.22,0.52,0.17,0.13,0.05,0.1
209,0.57,0.46,0.41,0.57,0.59,0.22,0.77,0.21,0.03,0.13
210,0.74,0.65,0.57,0.51,0.34,0.24,0.68,0.21,0.02,0.12
211,0.58,0.39,0.31,0.29,0.61,0.33,0.53,0.52,0.09,0.3
212,0.55,0.56,0.47,0.39,0.47,0.74,0.61,0.71,0.08,0.42
213,0.39,0.21,0.23,0.84,0.08,0.04,0.07,0.4,0.24,0.14
214,0.58,0.44,0.5,0.46,0.7,0.37,0.51,0.12,0.04,0.23
215,0.66,0.46,0.44,0.52,0.5,0.25,0.67,0.26,0.03,0.2
216,0.58,0.79,0.39,0.46,0.24,0.11,0.14,0.67,0.12,0.3
217,0.49,0.18,0.13,0.62,0.13,0.02,0.03,0.16,0.17,0.11
218,0.39,0.49,0.14,0.16,0.11,0.46,0.05,0.65,0.85,0.72
219,0.16,0.19,0.25,0.78,0.08,0.04,0.03,0.13,0.82,0.42
220,0.49,0.36,0.18,0.65,0.12,0.04,0.1,0.16,0.2,0.15
221,0.64,0.37,0.38,0.55,0.45,0.47,0.55,0.19,0.05,0.15
222,0.37,0.34,0.37,0.33,0.7,0.23,0.54,0.07,0.02,0.18
223,0.49,0.54,0.26,0.29,0.24,0.18,0.07,0.47,0.49,0.7
224,0.38,0.22,0.32,0.49,0.35,0.61,0.22,0.29,0.28,0.5
225,0.67,0.59,0.57,0.56,0.48,0.28,0.78,0.39,0.03,0.25
226,0.67,0.63,0.26,0.3,0.5,0.5,0.43,0.46,0.04,0.22
227,0.42,0.26,0.28,0.32,0.47,0.27,0.45,0.09,0.02,0.17
228,0.52,0.39,0.44,0.45,0.73,0.23,0.7,0.19,0.05,0.17
229,0.76,0.63,0.45,0.54,0.6,0.29,0.61,0.4,0.02,0.12
230,0.26,0.11,0.4,0.36,0.53,0.36,0.12,0.19,0.25,0.33
231,0.7,0.61,0.5,0.49,0.6,0.26,0.68,0.46,0.03,0.18
232,0.3,0.26,0.33,0.31,0.29,0.35,0.19,0.27,0.42,0.43
233,0.37,0.24,0.33,0.43,0.7,0.3,0.42,0.33,0.22,0.39
234,0.74,0.56,0.53,0.55,0.62,0.35,0.7,0.36,0.04,0.12
235,0.55,0.5,0.45,0.6,0.7,0.31,0.49,0.32,0.05,0.32
236,0.57,0.58,0.2,0.47,0.54,0.51,0.51,0.52,0.02,0.28
237,0.59,0.55,0.38,0.46,0.16,0.06,0.09,0.13,0.09,0.24
238,0.82,0.24,0.3,0.39,0.4,0.22,0.51,0.22,0.02,0.07
239,0.49,0.2,0.13,0.51,0.32,0.29,0.18,0.1,0.11,0.21
240,0.56,0.38,0.17,0.49,0.41,0.12,0.48,0.38,0.03,0.15
241,0.68,0.72,0.36,0.5,0.12,0.06,0.06,0.25,0.06,0.41
242,0.72,0.59,0.43,0.51,0.49,0.49,0.72,0.57,0.03,0.31
243,0.33,0.2,0.15,0.44,0.34,0.46,0.07,0.13,0.38,0.28
244,0.43,0.14,0.36,0.4,0.34,0.51,0.19,0.38,0.38,0.59
245,0.4,0.19,0.32,0.6,0.35,0.13,0.16,0.11,0.08,0.16
246,0.62,0.45,0.18,0.42,0.09,0.07,0.03,0.32,0.06,0.17
247,0.41,0.15,0.24,0.25,0.37,0.31,0.35,0.31,0.2,0.43
248,0.64,0.76,0.26,0.28,0.11,0.05,0.03,0.47,0.11,0.4
249,0.57,0.21,0.37,0.55,0.33,0.11,0.45,0.11,0.09,0.14
250,0.47,0.46,0.24,0.51,0.21,0.1,0.54,0.59,0.05,0.38
251,0.44,0.47,0.2,0.75,0.07,0.04,0.05,0.35,0.35,0.11
252,0.42,0.36,0.11,0.2,0.09,0.14,0.07,0.67,0.78,0.48
253,0.39,0.36,0.56,0.35,0.65,0.55,0.68,0.13,0.04,0.24
254,0.36,0.19,0.29,0.49,0.44,0.45,0.22,0.27,0.32,0.53
255,0.58,0.37,0.39,0.68,0.55,0.3,0.45,0.39,0.18,0.19
256,0.48,0.31,0.47,0.34,0.55,0.46,0.36,0.27,0.06,0.41
257,0.55,0.55,0.31,0.32,0.4,0.52,0.63,0.8,0.07,0.47
258,0.6,0.58,0.36,0.18,0.51,0.29,0.43,0.46,0.04,0.23
259,0.53,0.49,0.53,0.67,0.56,0.4,0.54,0.36,0.09,0.26
260,0.46,0.29,0.09,0.19,0.19,0.05,0.03,0.08,0.14,0.07
261,0.43,0.28,0.45,0.4,0.24,0.49,0.34,0.12,0.03,0.16
262,0.3,0.17,0.28,0.5,0.38,0.51,0.18,0.37,0.49,0.51
263,0.37,0.33,0.15,0.63,0.09,0.05,0.04,0.13,0.25,0.25
264,0.32,0.16,0.18,0.47,0.17,0.3,0.2,0.07,0.07,0.06
265,0.17,0.2,0.27,0.69,0.09,0.05,0.03,0.12,0.87,0.5
266,0.6,0.53,0.29,0.48,0.59,0.37,0.38,0.44,0.05,0.58
267,0.67,0.56,0.42,0.5,0.11,0.04,0.14,0.25,0.18,0.15
268,0.5,0.45,0.45,0.33,0.34,0.17,0.52,0.07,0.02,0.08
269,0.34,0.18,0.11,0.78,0.08,0.03,0.04,0.1,0.15,0.08
270,0.29,0.26,0.28,0.7,0.08,0.1,0.03,0.16,0.83,0.44
271,0.7,0.72,0.37,0.37,0.2,0.1,0.16,0.61,0.45,0.67
272,0.69,0.5,0.53,0.31,0.53,0.49,0.72,0.74,0.06,0.46
273,0.48,0.45,0.47,0.38,0.65,0.62,0.76,0.44,0.05,0.38
274,0.48,0.32,0.3,0.68,0.12,0.07,0.11,0.4,0.7,0.56
275,0.42,0.31,0.35,0.43,0.34,0.71,0.18,0.66,0.2,0.48
276,0.46,0.3,0.46,0.59,0.68,0.36,0.56,0.26,0.06,0.14
277,0.79,0.58,0.45,0.44,0.54,0.39,0.74,0.49,0.03,0.18
278,0.48,0.29,0.43,0.47,0.37,0.37,0.78,0.12,0.02,0.05
279,0.53,0.36,0.52,0.53,0.59,0.51,0.65,0.31,0.08,0.26
280,0.37,0.19,0.42,0.38,0.64,0.31,0.71,0.18,0.05,0.3
281,0.57,0.51,0.41,0.53,0.49,0.14,0.65,0.57,0.13,0.35
282,0.74,0.61,0.36,0.49,0.31,0.07,0.36,0.49,0.12,0.32
283,0.66,0.58,0.4,0.38,0.37,0.21,0.53,0.52,0.04,0.1
284,0.67,0.51,0.52,0.49,0.68,0.43,0.62,0.48,0.05,0.4
285,0.57,0.51,0.45,0.43,0.6,0.41,0.6,0.59,0.14,0.58
286,0.29,0.2,0.21,0.45,0.1,0.09,0.05,0.17,0.25,0.37
287,0.45,0.2,0.34,0.6,0.34,0.77,0.45,0.45,0.18,0.33
288,0.3,0.2,0.32,0.27,0.28,0.22,0.11,0.28,0.67,0.43
289,0.44,0.4,0.53,0.51,0.55,0.25,0.45,0.08,0.04,0.16
290,0.75,0.63,0.56,0.47,0.54,0.32,0.62,0.42,0.03,0.17
291,0.6,0.44,0.55,0.5,0.55,0.37,0.72,0.26,0.04,0.12
292,0.28,0.18,0.28,0.43,0.23,0.46,0.06,0.35,0.69,0.54
293,0.44,0.42,0.43,0.45,0.64,0.54,0.78,0.36,0.04,0.27
294,0.31,0.25,0.3,0.56,0.43,0.77,0.33,0.43,0.22,0.45
295,0.68,0.58,0.42,0.58,0.54,0.28,0.65,0.36,0.02,0.13
296,0.37,0.12,0.15,0.75,0.07,0.03,0.03,0.09,0.77,0.19
297,0.58,0.56,0.33,0.63,0.58,0.14,0.43,0.36,0.03,0.25
298,0.59,0.64,0.46,0.55,0.18,0.13,0.08,0.7,0.51,0.68
299,0.22,0.22,0.08,0.34,0.05,0.07,0.03,0.17,0.77,0.26
300,0.43,0.47,0.27,0.44,0.42,0.12,0.05,0.37,0.72,0.45
301,0.64,0.68,0.44,0.52,0.16,0.09,0.13,0.3,0.28,0.53
302,0.75,0.56,0.52,0.31,0.47,0.58,0.75,0.48,0.03,0.12
303,0.31,0.14,0.17,0.45,0.13,0.04,0.03,0.31,0.83,0.58
304,0.65,0.63,0.28,0.55,0.11,0.04,0.05,0.3,0.07,0.13
305,0.46,0.46,0.21,0.7,0.1,0.05,0.1,0.54,0.46,0.18
306,0.34,0.12,0.39,0.16,0.31,0.72,0.18,0.17,0.08,0.3
307,0.62,0.75,0.22,0.36,0.22,0.16,0.29,0.74,0.31,0.63
308,0.66,0.57,0.36,0.61,0.59,0.17,0.76,0.44,0.03,0.15
309,0.72,0.54,0.46,0.3,0.58,0.32,0.72,0.63,0.04,0.41
310,0.46,0.39,0.55,0.4,0.68,0.39,0.63,0.06,0.03,0.21
311,0.74,0.47,0.36,0.43,0.62,0.17,0.53,0.17,0.02,0.12
312,0.4,0.39,0.28,0.43,0.38,0.17,0.16,0.29,0.57,0.56
313,0.24,0.19,0.23,0.47,0.12,0.25,0.03,0.32,0.86,0.64
314,0.37,0.32,0.29,0.49,0.27,0.37,0.11,0.28,0.3,0.29
315,0.76,0.49,0.38,0.48,0.26,0.19,0.48,0.41,0.03,0.07
316,0.3,0.11,0.14,0.74,0.07,0.03,0.03,0.09,0.48,0.13
317,0.43,0.31,0.41,0.47,0.66,0.29,0.48,0.14,0.02,0.16
318,0.58,0.52,0.42,0.67,0.5,0.2,0.57,0.2,0.03,0.12
319,0.31,0.2,0.21,0.59,0.43,0.3,0.15,0.06,0.05,0.1
320,0.49,0.27,0.18,0.73,0.19,0.35,0.23,0.2,0.19,0.23
321,0.51,0.13,0.19,0.42,0.14,0.03,0.3,0.21,0.04,0.12
322,0.5,0.4,0.53,0.32,0.45,0.5,0.65,0.58,0.22,0.57
323,0.27,0.12,0.15,0.67,0.21,0.48,0.07,0.09,0.6,0.16
324,0.29,0.21,0.29,0.49,0.54,0.1,0.54,0.14,0.06,0.27
325,0.47,0.3,0.44,0.34,0.26,0.74,0.31,0.21,0.1,0.27
326,0.55,0.39,0.29,0.43,0.46,0.14,0.65,0.11,0.02,0.04
